country;point_coordinates;geometric_shapes
Akaa;61.167145977N, 23.865888764E;393
Alajärvi;63.001273254N, 23.817522812E;280
Alavieska;64.166646246N, 24.307213479E;97
Alavus;62.586161997N, 23.616600589E;262
Asikkala;61.172512361N, 25.549142484E;315
Askola;60.530210718N, 25.598880612E;66
Aura;60.646591846N, 22.588991955E;319
Brändö;60.412662338N, 21.043713790E;113, 362, 363, 364, 365, 366, 367, 368
Eckerö;60.213612052N, 19.613138657E;374, 375, 376
Enonkoski;62.089260323N, 28.916904602E;225
Enontekiö;68.385549758N, 23.635307625E;385
Espoo;60.206376371N, 24.656728549E;2, 3
Eura;61.130003763N, 22.135931764E;45
Eurajoki;61.203547237N, 21.734096180E;428, 429
Evijärvi;63.366901950N, 23.473953140E;330
Finström;60.232262787N, 19.992383189E;233, 234
Forssa;60.814791352N, 23.616407300E;308
Föglö;60.011288651N, 20.425481273E;137, 138, 139, 140, 141, 142
Geta;60.374272036N, 19.845773869E;9, 10
Haapajärvi;63.748514012N, 25.319573489E;81
Haapavesi;64.136145958N, 25.364407256E;342
Hailuoto;65.008596339N, 24.711126360E;62
Halsua;63.460145023N, 24.171590087E;333
Hammarland;60.218344619N, 19.739791930E;291
Hankasalmi;62.390301152N, 26.436191366E;58
Hanko;59.824968530N, 22.966840833E;6
Harjavalta;61.313701934N, 22.141199348E;39
Hattula;61.055937939N, 24.373688807E;397
Hausjärvi;60.788352094N, 25.024743189E;322
Heinola;61.205235600N, 26.034841245E;463
Heinävesi;62.425985285N, 28.629432602E;134
Helsinki;60.166640739N, 24.943536799E;303, 304, 305, 306
Hirvensalmi;61.643279652N, 26.777369010E;247
Hollola;60.988606497N, 25.512813466E;156
Huittinen;61.177545666N, 22.699443932E;321
Humppila;60.922008168N, 23.367072017E;445
Hyrynsalmi;64.677259967N, 28.490705072E;394
Hyvinkää;60.631016885N, 24.861124319E;83
Hämeenkyrö;61.640922455N, 23.195714863E;430
Hämeenlinna;60.996174323N, 24.464424988E;421
Ii;65.322611335N, 25.374983789E;380
Iisalmi;63.559688616N, 27.186983669E;80
Iitti;60.890805141N, 26.338692150E;86
Ikaalinen;61.768251116N, 23.074590925E;87
Ilmajoki;62.733541324N, 22.577475532E;129
Ilomantsi;62.672850851N, 30.926797320E;381
Imatra;61.171527381N, 28.769224555E;276
Inari;68.905469786N, 27.017602211E;237
Inkoo;60.044664081N, 24.006574663E;47, 48, 49, 50
Isojoki;62.115137142N, 21.958478468E;293
Isokyrö;63.000103009N, 22.318211434E;349
Janakkala;60.921846055N, 24.647706584E;147
Joensuu;62.602079226N, 29.759679275E;179
Jomala;60.150434190N, 19.952566320E;361
Joroinen;62.179506084N, 27.826421809E;295
Joutsa;61.740271260N, 26.110981259E;126
Juuka;63.239859772N, 29.254325823E;174
Juupajoki;61.797913262N, 24.369974148E;42
Juva;61.897472595N, 27.857335654E;244
Jyväskylä;62.241677684N, 25.749498121E;145
Jämijärvi;61.820221688N, 22.691024601E;382
Jämsä;61.864256654N, 25.190231473E;12
Kaarina;60.407620851N, 22.371004907E;423, 424, 425
Kaavi;62.974976715N, 28.480838102E;317
Kajaani;64.226733925N, 27.728046683E;379
Kalajoki;64.260430362N, 23.949156078E;347, 348
Kangasala;61.463200572N, 24.067165047E;57
Kangasniemi;61.988644474N, 26.642473064E;125
Kankaanpää;61.803357693N, 22.395162560E;296
Kannonkoski;62.976573477N, 25.263430615E;101
Kannus;63.901745411N, 23.915054223E;411
Karijoki;62.308417557N, 21.704898532E;398
Karkkila;60.534934578N, 24.208211330E;59
Karstula;62.876603857N, 24.800504818E;277
Karvia;62.138536127N, 22.562560142E;467
Kaskinen;62.382871885N, 21.225392339E;103
Kauhajoki;62.425088156N, 22.177243878E;318
Kauhava;63.100920012N, 23.065244367E;128
Kauniainen;60.210640465N, 24.727752700E;
Kaustinen;63.548090648N, 23.699878510E;144
Keitele;63.179589177N, 26.349949125E;46
Kemi;65.733635445N, 24.563415560E;74
Kemijärvi;66.715018519N, 27.430577528E;307
Keminmaa;65.798981364N, 24.542629190E;451
Kemiönsaari;60.163845255N, 22.728934263E;267, 268, 269, 270, 271, 272, 273, 274, 275
Kempele;64.912672171N, 25.509951880E;130
Keuruu;62.260208877N, 24.706448341E;65
Kihniö;62.203176316N, 23.177811003E;352
Kirkkonummi;60.120657960N, 24.438913078E;452
Kitee;62.096690509N, 30.145386285E;249
Kittilä;67.653127857N, 24.911437456E;161
Kiuruvesi;63.651462106N, 26.622489907E;250
Kivijärvi;63.122924860N, 25.070968069E;266
Kokemäki;61.256136349N, 22.350459185E;177
Kokkola;63.837583062N, 23.131961664E;28, 29, 30
Kolari;67.331718287N, 23.788974026E;232
Konnevesi;62.627334113N, 26.289457254E;449
Kontiolahti;62.766465365N, 29.844407795E;450
Korsnäs;62.785052299N, 21.188728029E;327, 328, 329
Koski Tl;60.652981939N, 23.137367393E;242
Kotka;60.465520795N, 26.941152634E;309, 310, 311, 312, 313
Kouvola;60.866825214N, 26.705598153E;14
Kristiinankaupunki;62.274742151N, 21.378547080E;464
Kruunupyy;63.727817733N, 23.033771859E;127
Kuhmo;64.125288629N, 29.524367548E;191
Kuhmoinen;61.562425983N, 25.175665612E;100
Kumlinge;60.259692477N, 20.778313171E;111, 112, 114, 115
Kuopio;62.892982923N, 27.688934744E;240
Kurikka;62.618893949N, 22.398773710E;350
Kustavi;60.546714695N, 21.358881644E;160, 168, 169, 170, 171, 172
Kuusamo;65.964424921N, 29.188616060E;192
Kyyjärvi;63.043410994N, 24.566437311E;146
Kärkölä;60.868376480N, 25.273377105E;167
Kärsämäki;63.980587073N, 25.759667454E;256
Kökar;59.920278312N, 20.908372757E;460, 461, 462
Lahti;60.980380564N, 25.654987962E;378
Laihia;62.977956713N, 22.011173105E;231
Laitila;60.875860346N, 21.690233379E;395
Lapinjärvi;60.624363429N, 26.201405459E;278
Lapinlahti;63.364517752N, 27.387415475E;340
Lappajärvi;63.217602823N, 23.632849978E;63
Lappeenranta;61.058749724N, 28.187689913E;43
Lapua;62.970168655N, 23.007570333E;466
Laukaa;62.413528005N, 25.957777304E;44
Lemi;61.061522998N, 27.804960542E;239
Lemland;60.068453521N, 20.099599382E;38
Lempäälä;61.312525626N, 23.755748116E;336
Leppävirta;62.491829038N, 27.788663006E;82
Lestijärvi;63.524801746N, 24.665803320E;339
